,year,Total_higher_edu,Higher_public_edu,Higher_private_edu,K_12,Primary,Secondary,Highschool
0,1995,297900.0,297900.0,0.0,15561000.0,10228800.0,4312700.0,1019500.0
1,1996,509300.0,509300.0,0.0,16348000.000000002,10352700.0,4839700.0,1155600.0
2,1997,662800.0,662800.0,0.0,16970200.0,10383600.0,5204600.0,1382000.0
3,1998,682300.0,682300.0,0.0,17391100.000000004,10223900.0,5514300.0,1652900.0
4,1999,734900.0,734900.0,0.0,17685300.0,10033500.0,5694800.0,1957000.0
5,2000,899500.0,795600.0,103900.0,17776100.000000004,9741100.0,5863600.0,2171400.0
6,2001,974100.0,873000.0,101100.0,17875600.0,9315300.0,6259100.0,2301200.0
7,2002,1020699.9999999999,908800.0,111900.0,17699600.000000004,8815700.0,6429700.0,2454200.0
8,2003,1131000.0,993900.0,137100.0,17505399.999999996,8346000.0,6569800.0,2589600.0
9,2004,1319800.0,1182000.0,137800.0,17122600.0,7744800.0,6616700.0,2761100.0
10,2005,1387100.0000000002,1226700.0,160400.0,16650599.999999998,7304000.0,6371300.0,2975300.0
11,2006,1666200.0,1456700.0,209500.0,16256599.999999998,7029400.0,6152000.0,3075200.0
12,2007,1603500.0,1414700.0,188800.0,15685200.0,6860300.0,5803300.0,3021600.0
13,2008,1719500.0,1501300.0,218200.0,15127900.0,6731600.0,5468700.0,2927600.0
14,2009,1956200.0,1656400.0,299800.0,14912100.0,6908000.0,5163200.0,2840900.0
15,2010,2162100.0,1828200.0,333900.0,14792800.0,7043300.0,4945200.0,2804300.0
16,2011,2208100.0,1873100.0,335000.0,14782599.999999998,7101000.0,4926400.0,2755200.0
17,2012,2178600.0,1855200.0,323400.0,14747100.0,7202800.0,4869800.0,2674500.0
18,2013,2061600.0,1792000.0,269600.0,14900700.0,7435600.0,4932400.0,2532700.0
19,2014,2363900.0,2050300.0000000002,313600.0,15082400.0,7543700.0,5098800.0,2439900.0
20,2015,1753174.0,1520807.0,232367.0,15353795.000000002,7790009.0,5138656.0,2425130.0
21,2016,1767879.0,1523904.0,243975.0,15514259.000000002,7801560.0,5235524.0,2477175.0
22,2017,1707024.9999999998,1439495.0,267530.0,15924045.0,8041842.0,5373639.0,2508564.0
23,2018,1526110.9999999998,1261529.0,264582.0,16525867.999999998,8506562.0,5455875.0,2563431.0
24,2019,1672881.0,1359402.0,313479.0,16966970.999999996,8718356.0,5599918.0,2648697.0
25,2020,1905956.0,1540599.0,365357.0,17546986.999999996,8884964.0,5910423.0,2751600.0
