,year,East Asia & Pacific,Indonesia,Malaysia,Singapore,Thailand,United States,Viet Nam,World,East Asia & Pacific %,Indonesia %,Malaysia %,Singapore %,Thailand %,United States %,Viet Nam %,World %,East Asia & Pacific GDP PPP,Indonesia GDP PPP,Malaysia GDP PPP,Singapore GDP PPP,Thailand GDP PPP,United States GDP PPP,Viet Nam GDP PPP,World GDP PPP
0,1960,154531117498.847,,1916229477.13657,704751700.302494,2760750860.62197,543300000000.0,,1381135479871.29,,,,,,,,,,,,,,,,
1,1961,155127329777.047,,1901856122.72231,764629788.123689,3034037810.96795,563300000000.0,,1446355951851.15,3.7684227385697,5.74064582274347,7.59799400028281,8.13752950817668,5.36214630168787,2.29999999999968,,3.77292394854005,,,,,,,,
2,1962,158343678297.945,,2001489602.18475,826239211.817511,3308912796.93487,605100000000.0,,1546369168288.82,5.49892628810511,1.8419777020647,6.42102960904312,7.55344418052258,7.55425444784086,6.10000000000012,,5.37536049027972,,,,,,,,
3,1963,176591740764.433,,2510110348.16184,917608012.491752,3540403456.55305,638600000000.0,,1670666024902.52,7.81648934867054,-2.23702998433022,7.33880352682334,10.0401733131415,7.99983078698784,4.39999999999992,,5.19492739072032,,,,,,,,
4,1964,202562423066.157,,2674423922.48842,894153311.424857,3889129942.30769,685800000000.0,,1832615520368.05,10.5366358874168,3.52969814847717,5.35896290971056,-3.10316815597076,6.83099614370542,5.8000000000003,,6.56447589501926,,,,,,,,
5,1965,225488669971.227,,2956337669.29525,974644096.144674,4388937649.03846,743700000000.0,,1994519203522.57,7.01371212549344,1.08158946665004,7.68486347467319,7.83426046474929,8.18166153767717,6.39999999999976,,5.57745136858455,,,,,,,,
6,1966,251973597080.543,,3143517943.82632,1096425608.09089,5279230817.30769,815000000000.0,,2161644938244.92,8.66410862125248,2.79134682541115,7.81671102618819,10.180095306912,11.1225184946389,6.50000000000028,,5.74037694613378,,,,,,,,
7,1967,273161617537.021,5667756627.92093,3188924677.08953,1238035815.78586,5638461442.30769,861700000000.0,,2308597009339.41,7.70194216148616,1.38040280529586,3.85714649161983,12.508612746034,8.61598233328198,2.50000000000003,,4.12405033338392,,,,,,,,
8,1968,301107124936.329,7076465299.81141,3330371551.21161,1425706091.0356,6081009427.88461,942500000000.0,,2491804907882.14,9.56046295247504,10.9151785723284,7.97799464201174,13.5269942226387,8.12227025554289,4.79999999999959,,5.92163264213154,,,,,,,,
9,1969,346736994547.53,8337423312.88344,3664552041.34299,1659893767.84419,6695336567.30769,1019900000000.0,,2745215843083.19,11.4975145616842,6.82229824856704,4.88853365256124,13.8338251160131,6.55065988587748,3.09999999999999,,5.78866496831876,,,,,,,,
10,1970,413453241726.742,9150684931.50685,3864145667.41365,1920574150.17542,7086538437.5,1073303000000.0,,3009970148766.35,5.38982774474459,7.55463451460639,5.98653863031986,13.9420030031916,11.4079490662098,-0.283491263214827,,4.01520022293937,,,,,,,,
11,1971,458922270374.23,9333536369.94567,4244395955.78358,2263785443.61688,7375000024.03846,1164850000000.0,,3323043011474.53,5.31627618335521,7.02399719674149,10.0346605803438,12.4134371586342,4.89537376024299,3.29335163921785,,4.26892970664173,,,,,,,,
12,1972,569888244632.691,10997590361.4458,5043347250.41815,2721440980.75851,8177873151.04224,1279110000000.0,,3835299184390.59,7.21519336956744,7.03764320754472,9.38844499098961,13.3155626083739,4.27850803861051,5.25890735705133,,5.61748394544249,,,,,,,,
13,1973,751253809753.238,16273253012.0482,7662902677.9027,3696213333.33333,10838587357.7466,1425376000000.0,,4655916456683.01,7.66141986911906,8.10397553521128,11.7010816119945,10.6030030171787,10.2364330148798,5.645722556183,,6.41775600894961,,,,,,,,
14,1974,865270508011.096,25802409638.5542,9496204301.74981,5221534955.64418,13702998512.4492,1545243000000.0,,5333766079846.99,0.880775962420913,7.23424381726076,8.31866197361978,6.11740437109883,4.46625338575453,-0.540551651583186,,1.85335762766093,,,,,,,,
15,1975,946981108642.509,30463855421.6867,9298800799.46702,5633673929.99302,14882770593.9796,1684904000000.0,,5965065154144.33,3.705871765681,5.60747663551402,0.801068092192338,3.98873862550901,4.97040522766497,-0.20545606501301,,0.671914534845072,,,,,,,,
16,1976,1041522827811.58,37269156626.506,11050234598.6249,6327077974.10703,16985208648.2112,1873412000000.0,,6480247175250.15,4.2587955555268,7.07964601769913,11.5634897772546,7.43716681814959,9.32681108178437,5.38813928726294,,5.32452763399893,,,,,,,,
17,1977,1241411064805.24,45808915662.6506,13139488632.5546,6618585073.66035,19779312261.3155,2081826000000.0,,7329899696227.96,5.4236951989993,8.26446280991735,7.75305838033998,6.85244239382494,9.84346323531113,4.62415306482367,,4.08673483765783,,,,,,,,
18,1978,1638378937430.28,51455719075.8254,16358079862.1096,7517176354.84135,24006566636.6855,2351599000000.0,,8738280397493.86,5.7993441662104,6.87022900763358,6.65389221500463,7.77718195422017,10.2957465349385,5.53530495839769,,4.13229772697127,,,,,,,,
19,1979,1789114467940.66,51400186342.8889,21213264962.0141,9296921723.83465,27371650824.5092,2627333000000.0,,10163180097207.1,5.91491720719701,7.14285714285714,9.34909993075928,9.55444873972347,5.37176651254237,3.16614530778003,,4.17391142783474,,,,,,,,
20,1980,1956050522366.85,72482337397.4439,24488224677.2105,11896256782.8566,32353514988.7287,2857307000000.0,,11495788728590.5,3.78873426760317,10.0,7.44182677934407,10.1133721068475,5.17354100571934,-0.256749673873159,,1.89853848355878,,,,,,,,
21,1981,2122690614910.89,85518233419.0479,25004285791.7865,14175228843.6391,34846039193.6131,3207041000000.0,,11853208811986.8,4.67295602636879,7.87878787878789,6.94210420118173,10.8159232986752,5.90686776303639,2.53771930714828,,2.01210406063579,,,,,,,,
22,1982,2066221743484.45,90158449294.9921,26804493635.3297,16084252378.473,36589772403.7566,3343789000000.0,,11684061489731.6,4.15261441458877,2.24719101123596,5.94315245801018,7.10214484891354,5.35234875066743,-1.80288740885109,,0.30038913372718,,,,,,,,
23,1983,2190091680061.64,81052283383.7155,30347442110.9316,17784112149.5327,40042798388.4951,3634038000000.0,,12000649159392.4,4.42822899264344,4.39560439560441,6.25223081092673,8.55448210614414,5.58420246919084,4.58391335530169,,2.60278786467497,,,,,,,,
24,1984,2317598624736.0,84853700027.651,33942897422.0465,19749361097.965,41797647775.6238,4037613000000.0,,12460879740359.9,6.16160588783414,6.84210526315789,7.76179012218883,8.79228623912256,5.75243025148993,7.23663315018621,,4.71127720250242,,,,,,,,
25,1985,2388199816977.65,85289488375.4435,31199633352.9598,19156532745.7691,38900711332.5373,4338979000000.0,14094687820.7445,12977172366636.7,5.7000175614909,2.46305418719213,-1.02525025342071,-0.622701650113157,4.64724035659331,4.16965622337729,3.80585566810947,3.71791095513963,,,,,,,,
26,1986,3123521291594.5,79954072544.5279,27734111399.7525,18586746056.9974,43096773980.8569,4579631000000.0,26336616250.4397,15348791135000.6,4.92193893015779,5.76923076923077,1.24059492750688,1.34281041445436,5.53382776724771,3.4626459710688,2.78929157479443,3.37663580673986,,,,,,,,
27,1987,3722067437665.06,75929617557.7521,32181210157.9671,20919215578.2125,50535446554.8769,4855215000000.0,36658108850.3148,17551012270510.1,6.25655132871765,5.0,5.19193211272702,10.7979324702819,9.5189460221079,3.45925198973302,3.5834696313072,3.7439466382114,,,,,,,,
28,1988,4504813026702.21,84300174485.7973,35272109220.1988,25371462488.1292,61667253471.3736,5236438000000.0,25423812648.5941,19641101601883.3,7.59963062048968,5.62770562770562,9.93771967651989,11.26359213382,13.2881140717644,4.177061291404,5.13501167157808,4.62591384163728,,,,,,,,
29,1989,4699843182591.0,94451427876.6628,38847965292.9185,30465364738.6206,72250748099.9762,5641580000000.0,6293304974.59403,20434564489549.1,5.16269717340889,7.78688524590163,9.0596008665043,10.1588286387889,12.1905059866109,3.67264814950788,7.36451289395819,3.71093074996081,,,,,,,,
30,1990,4825135527454.88,106140727333.636,44024585239.6137,36144336768.7023,85343190719.0107,5963144000000.0,6471740805.56984,22935041260489.8,5.07064257573604,7.22433460076046,9.00852713774628,9.82089955731777,11.1671634446293,1.88596495668033,5.10091813908369,2.80826818167593,3250.57939561919,3069.98303991471,7010.26813954226,23812.9760978234,4410.62411823362,23888.6000088133,1184.12208849576,5572.07333471568
31,1991,5442893719943.36,116621996217.133,49143148094.2683,45466164978.2923,98234714971.0612,6158129000000.0,9613369520.41885,23932506768140.4,4.85270413412952,6.77581743971632,9.54546741443052,6.68839753958379,8.5582603212423,-0.108264790855543,5.96084393218912,1.3756235186811,3499.67525589391,3330.32508328546,7718.63272454435,25528.0135110466,4873.12526362267,24342.2589048189,1269.69453848447,5774.57400207252
32,1992,5983315055353.09,128026966579.964,59167550162.956,52131320032.8797,111452746517.655,6520327000000.0,9866990236.43587,25623906924793.2,4.2420864368212,6.49750651873819,8.88511797832156,6.63980556949564,8.08338802345332,3.52244052740502,8.64604745934572,2.0476018397417,3724.74444442658,3566.03118760158,8359.69439379481,27019.3650079227,5307.6765045706,25418.9907763319,1382.00123655692,5941.26310664632
33,1993,6794132980257.29,158006700301.533,66894966968.9736,60603815716.2653,128889262951.157,6858559000000.0,13180953598.1716,26235071296754.5,4.199079466805,6.49640811847792,9.89494333377064,11.459650875246,8.25191591524627,2.75178105096643,8.07273065739605,1.84383059315678,3965.84955307484,3823.25781140022,9146.2649050259,30059.3890590312,5796.63669097619,26387.2937338171,1499.1602301969,6101.09286734393
34,1994,7404462060278.98,176892143931.505,74478356957.7808,73688724431.1412,146683778959.101,7287236000000.0,16286433533.3228,27997506090383.2,5.23832298818093,7.53997109564237,9.21204179334867,11.0956893100227,7.99702466720433,4.02879325991903,8.83898095245374,3.32606178388237,4251.07278873952,4130.58019582829,9921.60084821074,33054.5864817873,6302.90206586501,27694.853416234,1636.0645906079,6332.11227433754
35,1995,8407703049147.34,202132028723.115,88705342902.7113,87812540788.4293,169278916592.843,7639749000000.0,20736164458.9505,31175460550856.0,5.66881672360695,8.22000739947582,9.82908519730812,7.17540112091071,8.12031534625378,2.68421727207786,9.54048017491264,3.0789863472671,4567.17810271477,4489.87321081134,10822.4354254883,35087.0090168552,6862.21372093511,28690.8757013347,1798.52506457254,6587.21037917531
36,1996,8101522614539.11,227369679374.973,100855393910.486,96293086513.0872,183035237429.281,8073122000000.0,24657470574.7501,31899770175146.8,5.62064533840886,7.81818707715229,10.0027006861844,7.47139086002002,5.65194446499471,3.77256549921414,9.34001749939179,3.57819134153574,4888.35532173847,4850.3775101963,11799.4022518818,36869.5620269305,7286.40069778864,29967.7127181749,1970.788948489,6876.3455273229
37,1997,7743791381646.73,215748998609.635,100005323301.867,100123787215.299,150180456565.728,8577554457000.0,26843700441.5482,31797633354814.9,4.05460262851133,4.6998788540334,7.32274185035924,8.31620911124497,-2.75357515314082,4.44717494524525,8.1520841433542,3.92103478697763,5141.39930211688,5083.75793117041,12542.2505587971,39283.0785251196,7116.0045332954,31459.1389804773,2136.50046802976,7167.02467530785
38,1998,6931652345852.65,95445547872.715,72167498980.8398,85728207781.7785,113675596787.738,9062818202000.0,27209602050.0452,31748589989088.3,0.451265019911148,-13.126725493152,-7.35941518817556,-2.19101500611274,-7.63403528600102,4.48139443155316,5.76445545848843,2.85676209531884,5136.04621375469,4396.78735098242,11447.5687652667,37557.0252235368,6565.35132620681,32853.6769523009,2253.39559532684,7304.96997885867
39,1999,7743499881489.52,140001351215.462,79148421052.6316,86286849754.8905,126669211778.94,9631174489000.0,28683659006.7752,32784571900951.0,3.74114931467533,0.791126082561647,6.13761201057692,5.71837175710837,4.57230775115542,4.79449904467508,4.77358688344989,3.55473318342068,5371.03836657852,4427.11345783171,12013.9731487304,39943.7183501514,6884.52765617875,34515.3902272076,2363.73252695334,7560.3704253294
